nc_id,source_family,source_file,source_section_or_json_path,modal_strength,normative_clause,atomic_requirement,evidence_excerpt,extraction_rationale,lineage_status,predecessor_nc_ids,confidence
NC-0167,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/organization_ownership_rules[4],,Unique indexes for tenant-owned business keys include organizationId.,Unique indexes for tenant-owned business keys include organizationId.,Unique indexes for tenant-owned business keys include organizationId.,Extracted programmatically,NEW,,MEDIUM
NC-0168,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/organization_ownership_rules[5],,Background jobs carry immutable organizationId and re-authorize resource existence before mutation.,Background jobs carry immutable organizationId and re-authorize resource existence before mutation.,Background jobs carry immutable organizationId and re-authorize resource existence before mutation.,Extracted programmatically,NEW,,MEDIUM
NC-0169,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/organization_ownership_rules[6],,Cross-tenant analytics are outside MVP unless explicitly de-identified and separately governed.,Cross-tenant analytics are outside MVP unless explicitly de-identified and separately governed.,Cross-tenant analytics are outside MVP unless explicitly de-identified and separately governed.,Extracted programmatically,NEW,,MEDIUM
NC-0170,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/organization_ownership_rules[7],,"Cloud/storage paths use opaque IDs; authorization is checked by application metadata, not path secrecy.","Cloud/storage paths use opaque IDs; authorization is checked by application metadata, not path secrecy.","Cloud/storage paths use opaque IDs; authorization is checked by application metadata, not path secrecy.",Extracted programmatically,NEW,,MEDIUM
NC-0171,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas,,"{""User"": {""ownership"": ""GLOBAL_IDENTITY"", ""fields"": [""_id"", ""email"", ""displayName"", ""authProviderRefs[]"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(email)""], ""notes"": ""No tenant-owned academic truth stored here.""}, ""Organization"": {""ownership"": ""GLOBAL_ORG"", ""fields"": [""_id"", ""name"", ""slug"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(slug)""]}, ""Membership"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""role"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(organizationId,userId)"", ""(userId,status)"", ""(organizationId,role,status)""]}, ""StudentProfile"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""profileVersion"", ""identitySummary"", ""academicContext"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(organizationId,userId)"", ""(organizationId,updatedAt)""]}, ""OnboardingState"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""currentStage"", ""completedSteps[]"", ""dismissedPrompts[]"", ""version"", ""updatedAt""], ""indexes"": [""unique(organizationId,userId)""]}, ""Document"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""storageRef"", ""originalFileName"", ""mimeType"", ""sizeBytes"", ""sha256"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,createdAt)"", ""(organizationId,sha256)"", ""(organizationId,status,updatedAt)""]}, ""DocumentVersion"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""documentId"", ""version"", ""storageRef"", ""sha256"", ""createdBy"", ""createdAt""], ""indexes"": [""unique(organizationId,documentId,version)""]}, ""ExtractionJob"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""documentId"", ""documentVersionId"", ""status"", ""extractorVersion"", ""startedAt"", ""completedAt"", ""errorCode"", ""createdAt""], ""indexes"": [""(organizationId,status,createdAt)"", ""(organizationId,documentId,createdAt)""]}, ""CandidateFact"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""extractionJobId"", ""entityType"", ""entityRef"", ""fieldPath"", ""proposedValue"", ""normalizedValue"", ""confidence"", ""status"", ""evidenceRefs[]"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status)"", ""(organizationId,extractionJobId)"", ""(organizationId,entityType,entityRef,fieldPath)""]}, ""ReviewSession"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""documentId"", ""candidateFactIds[]"", ""status"", ""version"", ""submittedAt"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status,createdAt)""]}, ""Fact"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""entityType"", ""entityRef"", ""fieldPath"", ""value"", ""normalizedValue"", ""verificationState"", ""freshnessState"", ""canonicalStatus"", ""version"", ""validFrom"", ""validUntil"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,entityType,entityRef)"", ""(organizationId,entityType,entityRef,fieldPath,canonicalStatus)"", ""(organizationId,freshnessState,updatedAt)""]}, ""ProvenanceRecord"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""factId"", ""sourceType"", ""sourceRef"", ""evidenceRefs[]"", ""derivationMethod"", ""extractorVersion"", ""confidence"", ""observedAt"", ""lastVerifiedAt"", ""createdAt""], ""indexes"": [""(organizationId,factId,createdAt)"", ""(organizationId,sourceType,sourceRef)""]}, ""ConflictCase"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""entityType"", ""entityRef"", ""fieldPath"", ""factIds[]"", ""candidateFactIds[]"", ""status"", ""reasonCode"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status,createdAt)"", ""(organizationId,entityType,entityRef,fieldPath,status)""]}, ""CorrectionRequest"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""factId"", ""requestedValue"", ""reason"", ""sourceAwareAction"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status,createdAt)"", ""(organizationId,factId,status)""]}, ""AuditEvent"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""actorUserId"", ""action"", ""resourceType"", ""resourceId"", ""requestId"", ""metadataSafe"", ""createdAt""], ""indexes"": [""(organizationId,createdAt)"", ""(organizationId,actorUserId,createdAt)"", ""(organizationId,resourceType,resourceId,createdAt)""], ""notes"": ""Append-only; never store secrets/raw sensitive payloads in metadataSafe.""}}","{""User"": {""ownership"": ""GLOBAL_IDENTITY"", ""fields"": [""_id"", ""email"", ""displayName"", ""authProviderRefs[]"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(email)""], ""notes"": ""No tenant-owned academic truth stored here.""}, ""Organization"": {""ownership"": ""GLOBAL_ORG"", ""fields"": [""_id"", ""name"", ""slug"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(slug)""]}, ""Membership"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""role"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(organizationId,userId)"", ""(userId,status)"", ""(organizationId,role,status)""]}, ""StudentProfile"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""profileVersion"", ""identitySummary"", ""academicContext"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(organizationId,userId)"", ""(organizationId,updatedAt)""]}, ""OnboardingState"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""currentStage"", ""completedSteps[]"", ""dismissedPrompts[]"", ""version"", ""updatedAt""], ""indexes"": [""unique(organizationId,userId)""]}, ""Document"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""storageRef"", ""originalFileName"", ""mimeType"", ""sizeBytes"", ""sha256"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,createdAt)"", ""(organizationId,sha256)"", ""(organizationId,status,updatedAt)""]}, ""DocumentVersion"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""documentId"", ""version"", ""storageRef"", ""sha256"", ""createdBy"", ""createdAt""], ""indexes"": [""unique(organizationId,documentId,version)""]}, ""ExtractionJob"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""documentId"", ""documentVersionId"", ""status"", ""extractorVersion"", ""startedAt"", ""completedAt"", ""errorCode"", ""createdAt""], ""indexes"": [""(organizationId,status,createdAt)"", ""(organizationId,documentId,createdAt)""]}, ""CandidateFact"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""extractionJobId"", ""entityType"", ""entityRef"", ""fieldPath"", ""proposedValue"", ""normalizedValue"", ""confidence"", ""status"", ""evidenceRefs[]"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status)"", ""(organizationId,extractionJobId)"", ""(organizationId,entityType,entityRef,fieldPath)""]}, ""ReviewSession"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""documentId"", ""candidateFactIds[]"", ""status"", ""version"", ""submittedAt"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status,createdAt)""]}, ""Fact"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""entityType"", ""entityRef"", ""fieldPath"", ""value"", ""normalizedValue"", ""verificationState"", ""freshnessState"", ""canonicalStatus"", ""version"", ""validFrom"", ""validUntil"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,entityType,entityRef)"", ""(organizationId,entityType,entityRef,fieldPath,canonicalStatus)"", ""(organizationId,freshnessState,updatedAt)""]}, ""ProvenanceRecord"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""factId"", ""sourceType"", ""sourceRef"", ""evidenceRefs[]"", ""derivationMethod"", ""extractorVersion"", ""confidence"", ""observedAt"", ""lastVerifiedAt"", ""createdAt""], ""indexes"": [""(organizationId,factId,createdAt)"", ""(organizationId,sourceType,sourceRef)""]}, ""ConflictCase"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""entityType"", ""entityRef"", ""fieldPath"", ""factIds[]"", ""candidateFactIds[]"", ""status"", ""reasonCode"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status,createdAt)"", ""(organizationId,entityType,entityRef,fieldPath,status)""]}, ""CorrectionRequest"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""userId"", ""factId"", ""requestedValue"", ""reason"", ""sourceAwareAction"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""(organizationId,userId,status,createdAt)"", ""(organizationId,factId,status)""]}, ""AuditEvent"": {""ownership"": ""TENANT_SCOPED"", ""fields"": [""_id"", ""organizationId"", ""actorUserId"", ""action"", ""resourceType"", ""resourceId"", ""requestId"", ""metadataSafe"", ""createdAt""], ""indexes"": [""(organizationId,createdAt)"", ""(organizationId,actorUserId,createdAt)"", ""(organizationId,resourceType,resourceId,createdAt)""], ""notes"": ""Append-only; never store secrets/raw sensitive payloads in metadataSafe.""}}","{""User"": {""ownership"": ""GLOBAL_IDENTITY"", ""fields"": [""_id"", ""email"", ""displayName"", ""authProviderRefs[]"", ""status"", ""createdAt"", ""updatedAt""], ""indexes"": [""unique(email)""], ""notes"": ""No tenant-owned a",Extracted programmatically,NEW,,MEDIUM
NC-0172,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[0],,_id,_id,_id,Extracted programmatically,NEW,,MEDIUM
NC-0173,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[1],,organizationId,organizationId,organizationId,Extracted programmatically,NEW,,MEDIUM
NC-0174,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[2],,actorUserId,actorUserId,actorUserId,Extracted programmatically,NEW,,MEDIUM
NC-0175,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[3],,action,action,action,Extracted programmatically,NEW,,MEDIUM
NC-0176,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[4],,resourceType,resourceType,resourceType,Extracted programmatically,NEW,,MEDIUM
NC-0177,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[5],,resourceId,resourceId,resourceId,Extracted programmatically,NEW,,MEDIUM
NC-0178,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[6],,requestId,requestId,requestId,Extracted programmatically,NEW,,MEDIUM
NC-0179,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[7],,metadataSafe,metadataSafe,metadataSafe,Extracted programmatically,NEW,,MEDIUM
NC-0180,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/fields[8],,createdAt,createdAt,createdAt,Extracted programmatically,NEW,,MEDIUM
NC-0181,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/indexes[0],,"(organizationId,createdAt)","(organizationId,createdAt)","(organizationId,createdAt)",Extracted programmatically,NEW,,MEDIUM
NC-0182,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/indexes[1],,"(organizationId,actorUserId,createdAt)","(organizationId,actorUserId,createdAt)","(organizationId,actorUserId,createdAt)",Extracted programmatically,NEW,,MEDIUM
NC-0183,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/indexes[2],,"(organizationId,resourceType,resourceId,createdAt)","(organizationId,resourceType,resourceId,createdAt)","(organizationId,resourceType,resourceId,createdAt)",Extracted programmatically,NEW,,MEDIUM
NC-0184,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/notes,,Append-only; never store secrets/raw sensitive payloads in metadataSafe.,Append-only; never store secrets/raw sensitive payloads in metadataSafe.,Append-only; never store secrets/raw sensitive payloads in metadataSafe.,Extracted programmatically,NEW,,MEDIUM
NC-0185,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/AuditEvent/ownership,,TENANT_SCOPED,TENANT_SCOPED,TENANT_SCOPED,Extracted programmatically,NEW,,MEDIUM
NC-0186,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[0],,_id,_id,_id,Extracted programmatically,NEW,,MEDIUM
NC-0187,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[10],,status,status,status,Extracted programmatically,NEW,,MEDIUM
NC-0188,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[11],,evidenceRefs[],evidenceRefs[],evidenceRefs[],Extracted programmatically,NEW,,MEDIUM
NC-0189,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[12],,createdAt,createdAt,createdAt,Extracted programmatically,NEW,,MEDIUM
NC-0190,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[13],,updatedAt,updatedAt,updatedAt,Extracted programmatically,NEW,,MEDIUM
NC-0191,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[1],,organizationId,organizationId,organizationId,Extracted programmatically,NEW,,MEDIUM
NC-0192,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[2],,userId,userId,userId,Extracted programmatically,NEW,,MEDIUM
NC-0193,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[3],,extractionJobId,extractionJobId,extractionJobId,Extracted programmatically,NEW,,MEDIUM
NC-0194,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[4],,entityType,entityType,entityType,Extracted programmatically,NEW,,MEDIUM
NC-0195,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[5],,entityRef,entityRef,entityRef,Extracted programmatically,NEW,,MEDIUM
NC-0196,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[6],,fieldPath,fieldPath,fieldPath,Extracted programmatically,NEW,,MEDIUM
NC-0197,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[7],,proposedValue,proposedValue,proposedValue,Extracted programmatically,NEW,,MEDIUM
NC-0198,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[8],,normalizedValue,normalizedValue,normalizedValue,Extracted programmatically,NEW,,MEDIUM
NC-0199,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/fields[9],,confidence,confidence,confidence,Extracted programmatically,NEW,,MEDIUM
NC-0200,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/indexes[0],,"(organizationId,userId,status)","(organizationId,userId,status)","(organizationId,userId,status)",Extracted programmatically,NEW,,MEDIUM
NC-0201,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/indexes[1],,"(organizationId,extractionJobId)","(organizationId,extractionJobId)","(organizationId,extractionJobId)",Extracted programmatically,NEW,,MEDIUM
NC-0202,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/indexes[2],,"(organizationId,entityType,entityRef,fieldPath)","(organizationId,entityType,entityRef,fieldPath)","(organizationId,entityType,entityRef,fieldPath)",Extracted programmatically,NEW,,MEDIUM
NC-0203,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CandidateFact/ownership,,TENANT_SCOPED,TENANT_SCOPED,TENANT_SCOPED,Extracted programmatically,NEW,,MEDIUM
NC-0204,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[0],,_id,_id,_id,Extracted programmatically,NEW,,MEDIUM
NC-0205,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[10],,createdAt,createdAt,createdAt,Extracted programmatically,NEW,,MEDIUM
NC-0206,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[11],,updatedAt,updatedAt,updatedAt,Extracted programmatically,NEW,,MEDIUM
NC-0207,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[1],,organizationId,organizationId,organizationId,Extracted programmatically,NEW,,MEDIUM
NC-0208,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[2],,userId,userId,userId,Extracted programmatically,NEW,,MEDIUM
NC-0209,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[3],,entityType,entityType,entityType,Extracted programmatically,NEW,,MEDIUM
NC-0210,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[4],,entityRef,entityRef,entityRef,Extracted programmatically,NEW,,MEDIUM
NC-0211,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[5],,fieldPath,fieldPath,fieldPath,Extracted programmatically,NEW,,MEDIUM
NC-0212,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[6],,factIds[],factIds[],factIds[],Extracted programmatically,NEW,,MEDIUM
NC-0213,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[7],,candidateFactIds[],candidateFactIds[],candidateFactIds[],Extracted programmatically,NEW,,MEDIUM
NC-0214,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[8],,status,status,status,Extracted programmatically,NEW,,MEDIUM
NC-0215,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/fields[9],,reasonCode,reasonCode,reasonCode,Extracted programmatically,NEW,,MEDIUM
NC-0216,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/indexes[0],,"(organizationId,userId,status,createdAt)","(organizationId,userId,status,createdAt)","(organizationId,userId,status,createdAt)",Extracted programmatically,NEW,,MEDIUM
NC-0217,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/indexes[1],,"(organizationId,entityType,entityRef,fieldPath,status)","(organizationId,entityType,entityRef,fieldPath,status)","(organizationId,entityType,entityRef,fieldPath,status)",Extracted programmatically,NEW,,MEDIUM
NC-0218,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/ConflictCase/ownership,,TENANT_SCOPED,TENANT_SCOPED,TENANT_SCOPED,Extracted programmatically,NEW,,MEDIUM
NC-0219,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[0],,_id,_id,_id,Extracted programmatically,NEW,,MEDIUM
NC-0220,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[1],,organizationId,organizationId,organizationId,Extracted programmatically,NEW,,MEDIUM
NC-0221,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[2],,userId,userId,userId,Extracted programmatically,NEW,,MEDIUM
NC-0222,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[3],,factId,factId,factId,Extracted programmatically,NEW,,MEDIUM
NC-0223,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[4],,requestedValue,requestedValue,requestedValue,Extracted programmatically,NEW,,MEDIUM
NC-0224,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[5],,reason,reason,reason,Extracted programmatically,NEW,,MEDIUM
NC-0225,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[6],,sourceAwareAction,sourceAwareAction,sourceAwareAction,Extracted programmatically,NEW,,MEDIUM
NC-0226,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[7],,status,status,status,Extracted programmatically,NEW,,MEDIUM
NC-0227,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[8],,createdAt,createdAt,createdAt,Extracted programmatically,NEW,,MEDIUM
NC-0228,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/fields[9],,updatedAt,updatedAt,updatedAt,Extracted programmatically,NEW,,MEDIUM
NC-0229,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/indexes[0],,"(organizationId,userId,status,createdAt)","(organizationId,userId,status,createdAt)","(organizationId,userId,status,createdAt)",Extracted programmatically,NEW,,MEDIUM
NC-0230,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/indexes[1],,"(organizationId,factId,status)","(organizationId,factId,status)","(organizationId,factId,status)",Extracted programmatically,NEW,,MEDIUM
NC-0231,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/CorrectionRequest/ownership,,TENANT_SCOPED,TENANT_SCOPED,TENANT_SCOPED,Extracted programmatically,NEW,,MEDIUM
NC-0232,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[0],,_id,_id,_id,Extracted programmatically,NEW,,MEDIUM
NC-0233,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[10],,updatedAt,updatedAt,updatedAt,Extracted programmatically,NEW,,MEDIUM
NC-0234,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[1],,organizationId,organizationId,organizationId,Extracted programmatically,NEW,,MEDIUM
NC-0235,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[2],,userId,userId,userId,Extracted programmatically,NEW,,MEDIUM
NC-0236,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[3],,storageRef,storageRef,storageRef,Extracted programmatically,NEW,,MEDIUM
NC-0237,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[4],,originalFileName,originalFileName,originalFileName,Extracted programmatically,NEW,,MEDIUM
NC-0238,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[5],,mimeType,mimeType,mimeType,Extracted programmatically,NEW,,MEDIUM
NC-0239,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[6],,sizeBytes,sizeBytes,sizeBytes,Extracted programmatically,NEW,,MEDIUM
NC-0240,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[7],,sha256,sha256,sha256,Extracted programmatically,NEW,,MEDIUM
NC-0241,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[8],,status,status,status,Extracted programmatically,NEW,,MEDIUM
NC-0242,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/fields[9],,createdAt,createdAt,createdAt,Extracted programmatically,NEW,,MEDIUM
NC-0243,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/indexes[0],,"(organizationId,userId,createdAt)","(organizationId,userId,createdAt)","(organizationId,userId,createdAt)",Extracted programmatically,NEW,,MEDIUM
NC-0244,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/indexes[1],,"(organizationId,sha256)","(organizationId,sha256)","(organizationId,sha256)",Extracted programmatically,NEW,,MEDIUM
NC-0245,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/indexes[2],,"(organizationId,status,updatedAt)","(organizationId,status,updatedAt)","(organizationId,status,updatedAt)",Extracted programmatically,NEW,,MEDIUM
NC-0246,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/Document/ownership,,TENANT_SCOPED,TENANT_SCOPED,TENANT_SCOPED,Extracted programmatically,NEW,,MEDIUM
NC-0247,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/DocumentVersion/fields[0],,_id,_id,_id,Extracted programmatically,NEW,,MEDIUM
NC-0248,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/DocumentVersion/fields[1],,organizationId,organizationId,organizationId,Extracted programmatically,NEW,,MEDIUM
NC-0249,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/schemas/DocumentVersion/fields[2],,documentId,documentId,documentId,Extracted programmatically,NEW,,MEDIUM
